"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC"
"245",2015-04-11,"Bayern Munich","Ein Frankfurt","3","0","H",19,4,10,1,3,0
"246",2015-04-11,"Hamburg","Wolfsburg","0","2","A",5,15,0,8,3,5
"247",2015-04-11,"Mainz","Leverkusen","2","3","A",8,9,2,5,4,2
"248",2015-04-11,"M'gladbach","Dortmund","3","1","H",12,17,7,3,6,6
"249",2015-04-11,"Paderborn","Augsburg","2","1","H",14,16,4,5,6,7
"250",2015-04-11,"Schalke 04","Freiburg","0","0","D",21,10,6,3,8,6
"251",2015-04-12,"FC Koln","Hoffenheim","3","2","H",18,24,6,8,3,3
"252",2015-04-12,"Stuttgart","Werder Bremen","3","2","H",15,12,3,3,9,3
"253",2015-04-17,"Ein Frankfurt","M'gladbach","0","0","D",17,11,5,4,8,5
"254",2015-04-18,"Augsburg","Stuttgart","2","1","H",12,16,4,7,2,6
"255",2015-04-18,"Dortmund","Paderborn","3","0","H",21,2,8,0,5,3
"256",2015-04-18,"Freiburg","Mainz","2","3","A",25,12,10,5,10,5
"257",2015-04-18,"Hertha","FC Koln","0","0","D",10,7,4,2,8,11
"258",2015-04-18,"Hoffenheim","Bayern Munich","0","2","A",8,20,1,5,1,10
"259",2015-04-18,"Leverkusen","Hannover","4","0","H",25,5,10,1,11,0
"260",2015-04-19,"Werder Bremen","Hamburg","1","0","H",11,8,5,2,3,0
"261",2015-04-19,"Wolfsburg","Schalke 04","1","1","D",26,7,9,2,7,1
"262",2015-04-24,"Mainz","Schalke 04","2","0","H",11,18,3,2,4,6
"263",2015-04-25,"Bayern Munich","Hertha","1","0","H",16,8,7,3,5,2
"264",2015-04-25,"Dortmund","Ein Frankfurt","2","0","H",12,11,4,0,2,2
"265",2015-04-25,"FC Koln","Leverkusen","1","1","D",14,9,4,5,5,4
"266",2015-04-25,"Hamburg","Augsburg","3","2","H",15,14,8,3,2,4
"267",2015-04-25,"Hannover","Hoffenheim","1","2","A",12,13,5,4,2,6
"268",2015-04-25,"Stuttgart","Freiburg","2","2","D",11,14,3,7,4,6
"269",2015-04-26,"M'gladbach","Wolfsburg","1","0","H",19,9,5,0,4,5
"270",2015-04-26,"Paderborn","Werder Bremen","2","2","D",20,13,8,6,14,6
"271",2015-05-02,"Augsburg","FC Koln","0","0","D",16,6,3,1,8,5
"272",2015-05-02,"Freiburg","Paderborn","1","2","A",15,14,5,6,8,6
"273",2015-05-02,"Hoffenheim","Dortmund","1","1","D",15,11,4,3,8,5
"274",2015-05-02,"Leverkusen","Bayern Munich","2","0","H",20,9,8,5,12,4
"275",2015-05-02,"Schalke 04","Stuttgart","3","2","H",20,15,6,7,5,4
"276",2015-05-02,"Werder Bremen","Ein Frankfurt","1","0","H",16,14,8,5,10,5
"277",2015-05-02,"Wolfsburg","Hannover","2","2","D",20,15,4,9,5,5
"278",2015-05-03,"Hertha","M'gladbach","1","2","A",10,18,3,7,3,3
"279",2015-05-03,"Mainz","Hamburg","1","2","A",9,13,5,5,8,2
"280",2015-05-08,"Hamburg","Freiburg","1","1","D",16,15,8,7,5,6
"281",2015-05-09,"Bayern Munich","Augsburg","0","1","A",16,12,4,4,4,5
"282",2015-05-09,"Dortmund","Hertha","2","0","H",15,2,4,0,7,3
"283",2015-05-09,"Ein Frankfurt","Hoffenheim","3","1","H",13,8,4,5,1,1
"284",2015-05-09,"Hannover","Werder Bremen","1","1","D",12,9,3,3,8,1
"285",2015-05-09,"M'gladbach","Leverkusen","3","0","H",10,19,7,2,6,10
"286",2015-05-09,"Stuttgart","Mainz","2","0","H",18,7,7,2,7,2
"287",2015-05-10,"FC Koln","Schalke 04","2","0","H",13,5,6,1,5,6
